S_No,TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP_Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
182,TX000182,AC00149,453.54,2023-04-19 16:36:00,Debit,Albuquerque,D000150,223.32.70.156,M017,ATM,58,Doctor,82,1.0,12046.3,2024-11-04 08:12:00
903,TX000903,AC00385,328.34,2023-10-12 16:17:00,Credit,San Diego,D000245,106.244.1.47,M014,Online,42,Engineer,31,1.0,2840.45,2024-11-04 08:09:00
79,TX000079,AC00464,120.29,2023-12-18 18:46:00,Debit,Miami,D000561,162.198.218.92,M045,Branch,19,Student,77,1.0,1362.39,2024-11-04 08:06:00
1516,TX001516,AC00468,170.36,2023-03-27 16:56:00,Debit,Indianapolis,D000225,133.63.96.21,M091,ATM,30,Doctor,118,1.0,6034.73,2024-11-04 08:09:00
15,TX000015,AC00085,166.99,2023-02-13 16:53:00,Debit,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1.0,299.93,2024-11-04 08:10:00
2018,TX002018,AC00453,270.56,2023-02-17 16:57:00,Debit,Philadelphia,D000203,57.166.147.242,M038,Online,23,Student,139,1.0,1268.44,2024-11-04 08:08:00
2471,TX002471,AC00128,425.91,2023-03-24 16:34:00,Debit,Jacksonville,D000412,177.116.108.246,M038,ATM,23,Student,47,1.0,383.58,2024-11-04 08:07:00
47,TX000047,AC00282,164.49,2023-12-13 16:01:00,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,26,Student,75,1.0,1509.27,2024-11-04 08:10:00
369,TX000369,AC00327,283.81,2023-03-09 16:31:00,Debit,San Diego,D000364,64.57.44.102,M046,Branch,28,Student,29,1.0,1519.35,2024-11-04 08:10:00
911,TX000911,AC00453,233.74,2023-02-13 16:43:00,Debit,Boston,D000373,6.44.165.160,M056,Online,72,Retired,142,1.0,4749.54,2024-11-04 08:06:00
2376,TX002376,AC00384,16.53,2023-07-24 17:07:00,Debit,Houston,D000078,52.1.78.30,M017,ATM,21,Student,220,1.0,707.95,2024-11-04 08:08:00
405,TX000405,AC00229,507.25,2023-10-30 17:21:00,Debit,Washington,D000672,112.196.12.19,M063,Branch,73,Retired,143,1.0,5331.57,2024-11-04 08:11:00
1679,TX001679,AC00322,745.95,2023-12-15 16:38:00,Debit,Memphis,D000688,68.254.244.208,M028,ATM,58,Doctor,127,1.0,13264.14,2024-11-04 08:11:00
74,TX000074,AC00110,233.92,2023-10-20 16:54:00,Credit,Jacksonville,D000295,152.140.239.181,M046,Online,26,Student,280,1.0,6537.62,2024-11-04 08:08:00
2097,TX002097,AC00334,292.38,2023-05-15 16:49:00,Debit,Baltimore,D000687,3.11.254.2,M001,ATM,68,Doctor,224,1.0,5803.89,2024-11-04 08:09:00
773,TX000773,AC00093,827.14,2023-01-17 17:25:00,Debit,El Paso,D000645,215.97.143.157,M018,Branch,36,Engineer,265,2.93258857489891,9800.21,2024-11-04 08:08:00
2358,TX002358,AC00194,361.38,2023-03-02 17:02:00,Credit,Milwaukee,D000444,60.89.202.192,M095,Online,72,Retired,71,2.93258857489891,4972.92,2024-11-04 08:12:00
1878,TX001878,AC00285,203.76,2023-10-02 16:33:00,Debit,Colorado Springs,D000088,221.105.243.251,M012,Branch,55,Retired,37,1.0,6747.16,2024-11-04 08:09:00
1423,TX001423,AC00207,38.14,2023-12-28 16:51:00,Debit,Albuquerque,D000572,113.134.242.82,M026,Online,19,Student,174,1.0,1119.21,2024-11-04 08:09:00
1136,TX001136,AC00386,297.03,2023-09-08 17:08:00,Debit,Austin,D000329,198.39.35.23,M041,Online,61,Retired,151,1.0,1088.62,2024-11-04 08:10:00
1214,TX001214,AC00170,1173.43250801351,2023-12-21 16:21:00,Credit,Jacksonville,D000174,40.10.25.102,M093,Branch,60,Retired,103,2.93258857489891,7816.41,2024-11-04 08:09:00
1126,TX001126,AC00063,592.82,2023-09-14 17:25:00,Debit,Memphis,D000450,193.108.17.115,M076,Online,74,Retired,248,1.0,7508.98,2024-11-04 08:12:00
1659,TX001659,AC00171,165.55,2023-10-02 18:21:00,Debit,Dallas,D000639,116.44.12.250,M061,Branch,28,Student,115,1.0,761.78,2024-11-04 08:08:00
1307,TX001307,AC00091,100.01,2023-06-29 16:06:00,Debit,Philadelphia,D000499,82.115.199.37,M061,ATM,50,Doctor,63,1.0,6393.12,2024-11-04 08:09:00
